Title ID	PSN Name	Region	Match Type	Redump Title	Serial
NPUI94484	WildArms: 2nd Ignition	US	fuzzy:0.98(diff region)	Wild Arms 2nd Ignition (Disc 1) | Wild Arms 2nd Ignition (Disc 2) | Wild Arms: 2nd Ignition | Wild Arms: 2nd Ignition (Disc 1) | Wild Arms: 2nd Ignition (Disc 2)	PCPX-96161 / PCPX-96171 / SCPS-10089 / SCPS-10090 / SCPS-45429 / SCPS-45430 / SCPS-91208 / SCPS-91209 / SCPS-91321 / SCPS-91322
NPUI94491	Legend Of Dragoon	US	fuzzy:0.95	Legend of Dragoon, The (Disc 1) | Legend of Dragoon, The (Disc 2) | Legend of Dragoon, The (Disc 3) | Legend of Dragoon, The (Disc 4)	SCUS-94491 / SCUS-94584 / SCUS-94585 / SCUS-94586
NPUI94508	2Xtreme	US	exact	2Xtreme	SCUS-94508
NPUI94608	WildArms	US	fuzzy:0.94	Wild Arms	SCUS-94608
NPUI94640	Syphon Filter 3	US	exact	Syphon Filter 3 | Syphon Filter 3 (Demo)	SCUS-94640 / SCUS-94661
NPUI94900	Crash Bandicoot	US	exact	Crash Bandicoot	SCUS-94900
NPUJ00005	Rayman	US	exact	Rayman | Rayman (Playable Game Preview)	SLUS-00005 / SLUS-90001
NPUJ00006	Tekken	US	exact	Tekken	SLUS-00006
NPUJ00008	Cyber Sled	US	fuzzy:0.63(diff region)	Cyber Org	SCPS-45381 / SLPS-01910
NPUJ00027	Blood Omen: Legacy of Kain	US	exact	Blood Omen: Legacy of Kain	SLUS-00027
NPUJ00029	Magic Carpet	US	exact	Magic Carpet	SLUS-00029
NPUJ00036	Darkstalkers	US	fuzzy:0.95	Darkstalkers 3	SLUS-00745
NPUJ00042	Gex	US	exact	Gex (Rev 1)	SLUS-00042
NPUJ00061	Soviet Strike	US	exact	Soviet Strike	SLUS-00061
NPUJ00067	Castlevania: Symphony of the Night	US	exact	Castlevania: Symphony of the Night	SLUS-00067
